DATE,SITE,LONGITUDE,LATITUDE,DEPTH,SST,BT,VISIBILITY,PENCIL_URCHIN,HYDROZOAN,SOFT_CORAL,ANEMONE,SPONGE_SOL,SPONGE_SUB,SEAPEN,SEAGRASS,SHELL,SEAHORSES
8/21/2012,371,103.3107944,10.63186111,8.8,30,30,5,6,6,4,0,1,3,1,,5,1
8/21/2012,259,103.3094806,10.63456389,8.9,30,30,3,25,4,0,6,3,2,0,0.1,5,1
8/22/2012,1,103.3040611,10.63948333,17.7,30,29,4,61,5,2,,3,3,1,0.1,90,0
8/23/2012,374,103.3120722,10.63246944,11,30,30,4,2,2,3,2,9,6,0,0,45,1
8/23/2012,88,103.3062889,10.63806389,12.5,30,29,4,99,3,1,1,0,6,0,0,70,1
8/24/2012,379,103.3141306,10.63344444,12,30,30,4,20,1,0,3,3,0,2,0,5,1
8/24/2012,117,103.3070417,10.637575,11,30,30,5,12,3,0,0,6,1,1,,10,1
8/27/2012,120,103.30825,10.63814722,11.8,30,30,6,37,20,,4,2,1,12,0.14,1,1
9/4/2012,379,103.3141306,10.63344444,10.1,29,29,5,1,10,1,1,2,1,5,0.05,1,0
9/10/2012,254,103.3074361,10.63359444,7.9,29,29,4,5,2,3,2,5,5,2,,1,0
9/11/2012,399,103.3111167,10.63119722,8.1,29,29,3,6,3,2,2,5,7,3,,1,2
9/12/2012,387,103.317525,10.63505278,10.1,29,29,4,3,3,1,5,4,1,7,,1,0
9/12/2012,180,103.3105972,10.63760556,3,29,29,3,10,11,,11,2,6,6,,1,0
9/18/2012,201,103.3080361,10.63556111,9.8,28,28,4,26,1,1,3,3,8,1,,5,2
9/18/2012,145,103.307375,10.6369,10,28,28,5,56,4,,8,3,13,1,,10,1
9/19/2012,266,103.3124056,10.63595278,10.1,29,29,3,4,6,,4,3,,,,1,0
9/21/2012,469,103.3175889,10.632675,12.5,27,27,1,6,34,65,8,18,3,38,,10,2
9/24/2012,290,103.3110806,10.63450556,10.7,28,28,1,6,6,7,9,7,6,5,,1,2
9/25/2012,445,103.3190028,10.63412222,12.2,28,28,4,12,38,8,22,4,3,5,,3,3
9/26/2012,331,103.3168472,10.636425,15.2,28,28,3,48,8,3,2,8,7,7,,20,0
9/26/2012,270,103.3140389,10.63673056,13.5,28,28,4,12,24,9,10,5,1,7,,5,2
9/27/2012,466,103.3162833,10.63205278,13.8,27,27,3,4,20,4,13,34,8,27,,5,0
9/28/2012,124,103.3099417,10.63895,19.2,28,28,1.5,126,13,1,1,6,6,1,,50,0
10/1/2012,335,103.3185417,10.63722778,16.5,27,27,4,118,10,,7,12,9,,,20,2
10/2/2012,159,103.3131389,10.63963056,18.9,27,27,3,158,12,2,,4,4,,,55,0
10/2/2012,96,103.3096,10.63965833,19.1,28,28,4,206,11,2,,7,13,,,60,0
10/3/2012,65,103.3080028,10.63971944,18.7,30,30,4,190,11,5,3,16,16,,,40,0
10/3/2012,187,103.3134639,10.63896667,17.8,28,28,4,161,7,1,3,8,1,,,45,0
10/8/2012,190,103.3147444,10.639575,19,28,28,4,51,15,1,2,10,2,1,,10,0
10/9/2012,218,103.3150861,10.63889722,18.9,28,28,4,86,4,,2,,2,,,30,0
10/10/2012,52,103.3139667,10.64342222,23.3,28,28,3,96,6,,,2,5,1,,5,0
10/10/2012,249,103.3167361,10.63885556,19.2,28,28,3,62,22,4,2,15,7,1,,15,0
10/11/2012,69,103.3096694,10.640525,22.4,28,28,3,283,5,2,,,1,1,,40,0
10/11/2012,130,103.3124111,10.640125,20.3,28,28,4,120,12,4,2,3,4,,,23,0
10/15/2012,83,103.3156528,10.64340833,24.9,29,28,1,20,4,1,1,10,3,,0.05,5,2
10/16/2012,224,103.3177083,10.64014167,22.2,29,29,2,45,6,2,5,10,4,,0.02,50,0
10/16/2012,103,103.3124639,10.64103056,24.2,29,29,5,84,4,,,6,1,,,20,0
10/17/2012,139,103.3163222,10.64196944,23,30,29,2,46,4,1,,7,3,,,10,0
10/17/2012,110,103.3155306,10.64251111,22.6,30,29,3,34,4,1,,10,4,,0.04,10,0
10/18/2012,24,103.3136361,10.64408056,23.1,30,29,3,20,,,,55,8,,,1,0
10/19/2012,56,103.3157917,10.6443,26.3,29,29,4,34,3,,4,8,2,,,5,0
10/26/2012,10,103.3077889,10.64127222,24.6,30,30,1,216,4,2,,1,5,,,50,0
10/26/2012,8,103.3069361,10.64086389,23.2,30,30,3,317,5,,,5,8,1,,50,0
10/27/2012,16,103.3102722,10.64246111,27.3,30,30,5,32,1,,5,1,,,,5,0
10/28/2012,50,103.3130333,10.64297778,26.6,31,30,3,101,1,,1,8,4,,,20,0
10/28/2012,122,103.3091111,10.63855556,15.4,30,29,3,219,1,1,1,1,3,,,15,0
10/30/2012,301,103.3156361,10.636675,15.1,30,29,3,49,4,1,8,3,2,,,10,1
10/30/2012,254,103.3074361,10.63359444,7.6,30,29,3,36,4,2,2,11,2,7,,3,0
10/31/2012,456,103.3121667,10.63009167,8.1,30,30,3,28,3,2,5,5,1,8,0.05,1,1
10/31/2012,425,103.3106833,10.63018056,7.5,30,30,4,4,4,1,16,3,4,14,,1,1
10/31/2012,341,103.3097111,10.63215278,7.8,30,30,3,7,1,2,9,8,11,1,,1,0
11/1/2012,224,103.3177083,10.64014167,21.4,30,30,1,32,,,1,3,,,,20,0
11/2/2012,397,103.3103583,10.63083889,8.3,30,30,2.5,7,1,,7,3,3,,,1,0
11/5/2012,466,103.3162833,10.63205278,13,30,28,5,12,,36,11,17,1,21,,2,0
11/5/2012,400,103.3115333,10.63139444,9,29,29,2,7,,1,11,9,3,4,,3,0
11/5/2012,400,103.3115333,10.63139444,9,29,28,2.5,6,2,1,8,9,,8,0.01,3,0
11/5/2012,386,103.3171167,10.63485833,11,30,29,4.5,5,,4,2,,,11,,0,1
11/6/2012,88,103.3062889,10.63806389,12.6,31,30,3,220,,,1,,2,4,,45,0
11/7/2012,144,103.3069556,10.6367,9.5,28,27,3,87,4,1,2,6,6,9,,5,0
11/7/2012,144,103.3069556,10.6367,11.6,30,30,5,53,,3,4,4,11,10,0.01,10,1
11/7/2012,305,103.3173833,10.63751111,16,28,27,2,71,0,0,0,3,0,1,0,25,0
11/8/2012,120,103.30825,10.63814722,11.5,28,27,2,280,,2,,2,1,,,42,0
11/12/2012,254,103.3074361,10.63359444,8.9,30,30,5,46,3,,5,6,3,4,0.03,5,0
11/12/2012,333,103.3177028,10.63683611,17,30,30,6,87,2,0,0,1,0,0,0,20,1
11/13/2012,218,103.3150861,10.63889722,17,28,28,2.5,89,,,,1,1,3,,25,1
11/13/2012,341,103.3097111,10.63215278,7.7,29,29,5,8,1,3,12,22,3,0,0,3,0
11/15/2012,460,103.3138583,10.63089722,12,29,29,4.5,4,3,1,6,4,2,1,,1,0
11/19/2012,161,103.3139944,10.64003333,12.1,29,29,4,156,6,2,3,8,,15,1,15,0
11/20/2012,290,103.3110806,10.63450556,11,29,29,4,16,,,7,9,,,,1,1
11/20/2012,301,103.3156361,10.636675,16.3,29,29,3,101,0,2,0,13,7,0,0,45,1
11/21/2012,341,103.3097111,10.63215278,9,29,29,4,11,0,4,7,16,4,1,0,0.5,1
11/22/2012,198,103.3067722,10.63496389,7.7,30,30,3,108,5,2,8,12,12,28,,45,4
11/22/2012,150,103.3094361,10.63787778,11.7,29,29,6,31,8,,8,1,,8,,2,1
11/23/2012,301,103.3156361,10.636675,15,29,29,2,90,0,0,3,3,2,0,0,7,0
11/26/2012,397,103.3103583,10.63083889,7,29,29,2,14,2,2,8,2,7,1,,5,0
11/27/2012,45,103.3110111,10.642,20,30,29,4,106,2,1,3,6,13,,,60,1
11/27/2012,425,103.3106833,10.63018056,8.1,30,29,4,24,5,1,2,1,6,5,,3,2
11/28/2012,428,103.3118556,10.63073611,8.5,30,29,3.5,0,6,3,5,11,2,2,0.01,1,0
11/29/2012,397,103.3103583,10.63083889,6,31,30,4,9,1,2,14,2,3,6,,2,0
11/30/2012,53,103.3144417,10.64365556,7.6,32,31,2.5,10,,,5,,1,7,,1,0
12/3/2012,65,103.3080028,10.63971944,18.4,30,29,5,243,6,3,0,9,8,0,0,55,0
12/3/2012,331,103.3168472,10.636425,16.5,30,29,4,46,0,2,0,1,0,1,0,25,3
12/4/2012,371,103.3107944,10.63186111,10,30,29,4,6,2,1,8,7,2,0,0,1,0
12/4/2012,197,103.3063639,10.63477222,16,30,29,3,205,1,0,1,2,8,0,0,30,1
12/6/2012,254,103.3074361,10.63359444,11,30,29,5,19,1,1,4,1,2,4,0,6,1
12/7/2012,145,103.307375,10.6369,11,30,29,2,15,0,0,3,3,1,2,0,3,3
12/10/2012,249,103.3167361,10.63885556,20,30,29,4,26,1,0,0,2,5,0,0,15,1
12/11/2012,400,103.3115333,10.63139444,9,31,30,4,6,0,0,2,4,3,2,0,5,1
12/11/2012,270,103.3140389,10.63673056,12,31,30,4,51,2,0,12,10,3,1,0,10,0
12/12/2012,307,103.318225,10.63790833,17,31,30,3,101,2,1,1,16,6,0,0,20,2
12/13/2012,254,103.3074361,10.63359444,7,31,30,5,33,1,1,5,5,4,3,0,3,0
12/14/2012,177,103.3093222,10.637,8,31,30,6,73,6,3,2,8,6,8,0,25,2
12/14/2012,341,103.3097111,10.63215278,7,31,30,4,18,2,5,1,17,4,5,0,1,0
12/17/2012,28,103.3154778,10.64495556,22,31,30,6,15,0,1,2,7,8,0,0,15,0
12/17/2012,88,103.3062889,10.63806389,12,30,30,7,255,3,1,4,1,18,4,0,35,0
12/18/2012,1,103.3040611,10.63948333,19.5,30,29,7,130,1,0,9,7,9,3,0,10,1
12/19/2012,354,103.3150194,10.63468333,9,30,30,7,25,0,1,6,3,7,0,0,1,1
