DATE,SITE,HABITAT,SPECIES,SNOUT [cm],HEAD [cm],TRUNK [cm],SEX [m/f],PREGNANT [y/n],DEPTH
8/24/2012,379,Pencil Urchin,H.spinosisimus,0.5,0.5,2.5,F,,12
8/23/2012,374,Pencil Urchin,H.spinosisimus,1,0.5,3,F,,10
8/21/2012,371,Sponge,H.spinosisimus,1,1.5,6,M,N,8.6
8/21/2012,259,Shell,H.spinosisimus,3,2.5,8,M,Y,9
8/27/2012,120,Pencil Urchin,H.spinosisimus,0.5,0.35,3,F,,11
8/24/2012,117,Pencil Urchin,H.spinosisimus,1,1,4.5,F,,11
8/23/2012,88,Pencil Urchin,H.spinosisimus,1,1,3.5,M,N,12
9/21/2011,469,Shell,H.spinosisimus,1,1,6,M,N,12.4
9/21/2011,469,Pencil Urchin,H.spinosisimus,1,1,4,M,N,12
9/25/2012,445,Pencil Urchin,H.spinosisimus,0.5,0.5,1,F,,11
9/25/2012,445,Pencil Urchin,H.spinosisimus,0.5,1,3,F,,11
9/25/2012,445,Pencil Urchin,H.spinosisimus,1,1.5,4,F,,11.3
9/11/2012,399,Pencil Urchin,H.spinosisimus,1,1,5.5,M,N,8
9/11/2012,399,Sponge,H.spinosisimus,1.75,2.25,7,M,N,8.5
9/24/2012,290,Shell,H.spinosisimus,1.5,1.5,5,M,N,10.1
9/24/2012,290,Pencil Urchin,H.spinosisimus,1,1,4,M,N,10.5
9/26/2012,270,Other,H.spinosisimus,1,1,5,M,Y,12.7
9/26/2012,270,Shell,H.spinosisimus,1.2,1.5,5,F,,12.7
9/18/2012,201,Pencil Urchin,H.spinosisimus,1,1,4.5,F,,9.5
9/18/2012,201,Pencil Urchin,H.spinosisimus,1.5,1,6,M,N,8.5
9/18/2012,145,Pencil Urchin,H.spinosisimus,0.8,1,3,M,N,9
10/15/2012,83,Pencil Urchin,H.spinosisimus,1.4,1,5,F,,24
10/15/2012,83,Pencil Urchin,H.spinosisimus,1.2,1.5,5,F,,23
10/31/2012,456,Pencil Urchin,H.spinosisimus,0.5,0.75,2.5,F,,8
10/31/2012,425,Pencil Urchin,H.spinosisimus,1,1.5,4,F,,7.2
